symbol,time,spot_price,strike,premium,days_to_maturity,moneyness,delta,gamma,vega,theta,rho,volatility,poe,bs_theoretical,option_type
B3SAA104,2023-01-02T00:00:00.000Z,12.25,10.32,2.03,13,ITM,0.899001,0.10075978136367478,0.0049184643474197215,-0.012641492860300639,0.004633936434457534,63.057,87.13,2.03,CALL
B3SAA109,2023-01-02T00:00:00.000Z,12.25,10.82,1.5,13,ITM,0.902615,0.13992563225271318,0.004789142367700717,-0.008902441578954215,0.0049301835517528295,44.213,88.42,1.5,CALL
B3SAA114,2023-01-02T00:00:00.000Z,12.25,11.32,1.05,13,ITM,0.824934,0.23402984605556912,0.007173836334941727,-0.011644364100736278,0.004671428100736201,39.598,80.08,1.05,CALL
B3SAA117,2023-01-02T00:00:00.000Z,12.25,11.57,0.95,13,ITM,0.716575,0.24549836560648833,0.009420972671431715,-0.01858347678075743,0.004038249634385962,49.572,67.73,0.95,CALL
B3SAA119,2023-01-02T00:00:00.000Z,12.25,11.82,0.79,13,ATM,0.649001,0.2686289536118343,0.010316321489710026,-0.020252288857152995,0.0036937676967989655,49.609,60.64,0.79,CALL
B3SAA122,2023-01-02T00:00:00.000Z,12.25,12.07,0.68,13,ATM,0.576247,0.2676991387198314,0.010896489717141326,-0.02254279086286251,0.003290747352787331,52.581,52.9,0.68,CALL
B3SAA123,2023-01-02T00:00:00.000Z,12.25,12.32,0.57,13,ATM,0.50914,0.26643735492101395,0.011096927656447637,-0.023412680653523543,0.002923418815754888,53.802,46.05,0.57,CALL
B3SAA126,2023-01-02T00:00:00.000Z,12.25,12.57,0.47,13,ATM,0.444945,0.26092848393763485,0.010993954195402016,-0.023409865856591276,0.0025693283026701394,54.428,39.66,0.47,CALL
B3SAA128,2023-01-02T00:00:00.000Z,12.25,12.82,0.36,13,ATM,0.377648,0.2592801014861842,0.01057362993816987,-0.02176235040948358,0.0022008017696243496,52.68,33.31,0.36,CALL
B3SAA133,2023-01-02T00:00:00.000Z,12.25,13.32,0.24,13,OTM,0.273138,0.21843131770440227,0.00925267046503751,-0.019719644525482378,0.0016022586415233425,54.719,23.34,0.24,CALL
B3SAA135,2023-01-02T00:00:00.000Z,12.25,13.07,0.37,13,OTM,0.3485,0.21725202323840495,0.010289499977565205,-0.024522055479107678,0.0020114397692386327,61.181,29.86,0.37,CALL
B3SAA137,2023-01-02T00:00:00.000Z,12.25,13.57,0.16,13,OTM,0.209107,0.20105201363478287,0.007998597833394927,-0.016000751273158483,0.0012388901783612362,51.392,17.72,0.16,CALL
B3SAA138,2023-01-02T00:00:00.000Z,12.25,13.82,0.11,13,OTM,0.158779,0.17456953308268436,0.00673584438039427,-0.013058795189105195,0.000946652463092581,49.844,13.29,0.11,CALL
B3SAA141,2023-01-02T00:00:00.000Z,12.25,14.07,0.09,13,OTM,0.131631,0.14913029901544997,0.005936791468270753,-0.01186316692468988,0.00078540731597191,51.425,10.83,0.09,CALL
B3SAA146,2023-01-02T00:00:00.000Z,12.25,14.57,0.05,13,OTM,0.080061,0.10308185052457385,0.004138748521334223,-0.008329924463018794,0.0004801444577426882,51.865,6.39,0.05,CALL
