symbol,time,spot_price,strike,premium,days_to_maturity,moneyness,delta,gamma,vega,theta,rho,volatility,poe,bs_theoretical,option_type
BBASA225,2022-01-03T00:00:00.000Z,28.82,22.06,6.98,13,ITM,0.92791,0.02418549394152664,0.0089898339323517,-0.031563474794818476,0.010194812838096978,86.75,89.68,6.98,CALL
BBASA285,2022-01-03T00:00:00.000Z,28.82,28.06,1.4,13,ATM,0.645007,0.15348617878748888,0.024369370853020548,-0.03609545920975959,0.008867353996318265,37.055,61.32,1.4,CALL
BBASA287,2022-01-03T00:00:00.000Z,28.82,28.31,1.23,13,ATM,0.606764,0.1623636155062295,0.025173263107279856,-0.03632435653642331,0.008386452434861066,36.185,57.48,1.23,CALL
BBASA290,2022-01-03T00:00:00.000Z,28.82,28.56,1.07,13,ATM,0.565877,0.1700927146444467,0.025757215782163608,-0.03622110312155818,0.007861133496875729,35.342,53.41,1.07,CALL
BBASA292,2022-01-03T00:00:00.000Z,28.82,28.81,0.93,13,ATM,0.522733,0.17444636728007526,0.026071611555895994,-0.03609821415942295,0.007291915746409084,34.88,49.11,0.93,CALL
BBASA295,2022-01-03T00:00:00.000Z,28.82,29.06,0.81,13,ATM,0.479087,0.1750210479479736,0.02607815737671075,-0.03591056883408422,0.006704915803693586,34.774,44.77,0.81,CALL
BBASA297,2022-01-03T00:00:00.000Z,28.82,29.31,0.68,13,ATM,0.433552,0.17748207770177754,0.025750997252389596,-0.03447549609995359,0.006094991115673658,33.862,40.35,0.68,CALL
BBASA300,2022-01-03T00:00:00.000Z,28.82,29.56,0.58,13,ATM,0.389867,0.1740070085571546,0.02511251789011899,-0.033378009395514975,0.0054970914386378595,33.682,36.09,0.58,CALL
BBASA302,2022-01-03T00:00:00.000Z,28.82,29.81,0.5,13,ATM,0.34942,0.16686736323189263,0.02423099220099675,-0.03234389703592972,0.0049370202425108685,33.89,32.14,0.5,CALL
BBASA305,2022-01-03T00:00:00.000Z,28.82,30.06,0.43,13,ATM,0.311568,0.15827489844235063,0.02314386228008326,-0.031056621085507403,0.004410367089210512,34.127,28.47,0.43,CALL
BBASA307,2022-01-03T00:00:00.000Z,28.82,30.31,0.36,13,ATM,0.273823,0.1497205534486882,0.021795357734036833,-0.02907823902617996,0.0038853084793847924,33.975,24.87,0.36,CALL
BBASA310,2022-01-03T00:00:00.000Z,28.82,30.56,0.3,13,OTM,0.23884,0.13982537485997565,0.020295448352545268,-0.02696558444591111,0.0033961664257602417,33.875,21.56,0.3,CALL
BBASA312,2022-01-03T00:00:00.000Z,28.82,30.81,0.25,13,OTM,0.207308,0.12896718047243003,0.01872216031972037,-0.02485117878775246,0.0029531476515335326,33.88,18.6,0.25,CALL
BBASA314,2022-01-03T00:00:00.000Z,28.82,31.06,0.22,13,OTM,0.184316,0.11746440752094006,0.017432502702798544,-0.02362690419681249,0.0026268101785242542,34.636,16.41,0.22,CALL
BBASA317,2022-01-03T00:00:00.000Z,28.82,31.31,0.22,13,OTM,0.175396,0.10671811619313534,0.016897709142233555,-0.024400707318371122,0.002494184432009466,36.954,15.46,0.22,CALL
BBASA32,2022-01-03T00:00:00.000Z,28.82,31.81,0.13,13,OTM,0.118807,0.08615199111803591,0.013002291175376485,-0.01787613487965214,0.0016992719070420134,35.223,10.37,0.13,CALL
BBASA322,2022-01-03T00:00:00.000Z,28.82,31.56,0.16,13,OTM,0.140451,0.0964096920209113,0.014601304284003348,-0.020158693648222644,0.002005587312278781,35.346,12.33,0.16,CALL
BBASA327,2022-01-03T00:00:00.000Z,28.82,32.31,0.1,13,OTM,0.092744,0.06945432395410346,0.010869139088266111,-0.01547254386057104,0.0013272836783820557,36.523,7.97,0.1,CALL
BBASA329,2022-01-03T00:00:00.000Z,28.82,32.56,0.08,13,OTM,0.077164,0.060806967146489865,0.009468857099575026,-0.013405722330928066,0.001105964226830009,36.343,6.59,0.08,CALL
BBASA330,2022-01-03T00:00:00.000Z,28.82,32.06,0.11,13,OTM,0.102675,0.07688916655574528,0.011710931645042822,-0.016237129455621262,0.0014697737471991222,35.547,8.9,0.11,CALL
BBASA332,2022-01-03T00:00:00.000Z,28.82,32.81,0.07,13,OTM,0.067961,0.05427559139292219,0.008590931611900903,-0.012355991165221509,0.0009742866507580168,36.941,5.76,0.07,CALL
BBASA335,2022-01-03T00:00:00.000Z,28.82,33.06,0.07,13,OTM,0.065532,0.05049907800001339,0.008352336443203304,-0.012544672994946278,0.0009381806253764596,38.601,5.51,0.07,CALL
BBASA340,2022-01-03T00:00:00.000Z,28.82,33.56,0.05,13,OTM,0.048548,0.03937214675142163,0.0065941289723617505,-0.010020570297735077,0.0006959923953606022,39.088,4.02,0.05,CALL
BBASA345,2022-01-03T00:00:00.000Z,28.82,34.06,0.04,13,OTM,0.038888,0.03185191568297089,0.0055128248319733794,-0.008650504717794666,0.0005575173045276686,40.393,3.18,0.04,CALL
BBASA350,2022-01-03T00:00:00.000Z,28.82,34.56,0.03,13,OTM,0.029736,0.025065026570639592,0.0044213092111139995,-0.007066220793213506,0.00042660490236374945,41.168,2.4,0.03,CALL
BBASA352,2022-01-03T00:00:00.000Z,28.82,34.81,0.03,13,OTM,0.028921,0.02372080049821098,0.004320503570566865,-0.00712760383393324,0.00041451455167070017,42.509,2.31,0.03,CALL
BBASA355,2022-01-03T00:00:00.000Z,28.82,35.06,0.03,13,OTM,0.028181,0.02251008437000906,0.004228272955287054,-0.007191424569031749,0.00040348902333709,43.839,2.23,0.03,CALL
