symbol,time,spot_price,strike,premium,days_to_maturity,moneyness,delta,gamma,vega,theta,rho,volatility,poe,bs_theoretical,option_type
BBDCA1,2022-01-03T00:00:00.000Z,19.69,18.93,1.12,13,ATM,0.69678,0.20750503693464512,0.015624153245154053,-0.02362357532830705,0.006499764613899038,37.648,66.63,1.12,CALL
BBDCA171,2022-01-03T00:00:00.000Z,19.69,14.8,4.95,13,ITM,0.966679,0.023050418195602974,0.0033187339013230743,-0.010306669941464234,0.007265460038905772,71.988,95.26,4.95,CALL
BBDCA189,2022-01-03T00:00:00.000Z,19.69,18.68,1.3,13,ITM,0.74647,0.18779763985035214,0.014317034776129126,-0.022053385295384823,0.006911625566368225,38.118,71.8,1.3,CALL
BBDCA194,2022-01-03T00:00:00.000Z,19.69,20.75,0.21,13,OTM,0.252604,0.22189383032729826,0.01428948636443762,-0.01807450140051281,0.0024574938844665194,32.199,22.98,0.21,CALL
BBDCA198,2022-01-03T00:00:00.000Z,19.69,19.84,0.55,13,ATM,0.481868,0.2603262533803563,0.01782283849255865,-0.024175049731493432,0.004610835067349822,34.232,45.1,0.55,CALL
BBDCA199,2022-01-03T00:00:00.000Z,19.69,19.59,0.67,13,ATM,0.546839,0.2590990774622753,0.017718145583841417,-0.024102026985000843,0.005208879935722407,34.192,51.6,0.67,CALL
BBDCA206,2022-01-03T00:00:00.000Z,19.69,21.91,0.06,13,OTM,0.088967,0.10706640976420201,0.0072002872200773345,-0.0094462868183275,0.0008727309020935468,33.625,7.73,0.06,CALL
BBDCA207,2022-01-03T00:00:00.000Z,19.69,20.5,0.28,13,ATM,0.310738,0.24234281024182583,0.015793736974268006,-0.020257530008000124,0.0030118660655323167,32.585,28.51,0.28,CALL
BBDCA211,2022-01-03T00:00:00.000Z,19.69,18.43,1.56,13,ITM,0.766063,0.15675851529064083,0.013708554760748221,-0.02412749609805463,0.006976511277943373,43.725,73.45,1.56,CALL
BBDCA217,2022-01-03T00:00:00.000Z,19.69,21.41,0.09,13,OTM,0.131263,0.1511852635731093,0.009524013634834938,-0.011735914633603947,0.0012868680871844622,31.498,11.66,0.09,CALL
BBDCA219,2022-01-03T00:00:00.000Z,19.69,21.66,0.07,13,OTM,0.104873,0.12626660074053458,0.00812485842674975,-0.010212369153219585,0.0010291345205625483,32.173,9.22,0.07,CALL
BBDCA221,2022-01-03T00:00:00.000Z,19.69,19.34,0.88,13,ATM,0.602923,0.2243260095882607,0.017244187682694357,-0.02636431140108206,0.005670209448342457,38.435,56.89,0.88,CALL
BBDCA224,2022-01-03T00:00:00.000Z,19.69,22.57,0.03,13,OTM,0.047681,0.06355588239824857,0.00444061613459115,-0.006038747351517274,0.0004688412085909208,34.935,4.03,0.03,CALL
BBDCA231,2022-01-03T00:00:00.000Z,19.69,20.25,0.37,13,ATM,0.374597,0.2547809225283899,0.016952424958870674,-0.02224775075321818,0.00361409704534229,33.269,34.63,0.37,CALL
BBDCA236,2022-01-03T00:00:00.000Z,19.69,23.7,0.01,13,OTM,0.017013,0.025134170352507455,0.0018866637078402424,-0.002749258986575671,0.00016765487001346523,37.532,1.37,0.01,CALL
BBDCA237,2022-01-03T00:00:00.000Z,19.69,23.45,0.01,13,OTM,0.017781,0.027438311027608058,0.001959201895768203,-0.0027172780238832756,0.00017544533809207578,35.702,1.45,0.01,CALL
BBDCA241,2022-01-03T00:00:00.000Z,19.69,21.16,0.14,13,OTM,0.181061,0.17880863888170156,0.011778242920098058,-0.015191872498354233,0.0017668973926441768,32.935,16.2,0.14,CALL
BBDCA251,2022-01-03T00:00:00.000Z,19.69,22.07,0.04,13,OTM,0.065407,0.08855139258610986,0.0056979149110441,-0.007149766398279032,0.0006437406851806744,32.173,5.66,0.04,CALL
BBDCA261,2022-01-03T00:00:00.000Z,19.69,22.98,0.03,13,OTM,0.043852,0.053801999902934196,0.004151626140515638,-0.0062269247038033914,0.0004299526412791748,38.582,3.63,0.03,CALL
BBDCA264,2022-01-03T00:00:00.000Z,19.69,23.2,0.02,13,OTM,0.03136,0.04187235898360662,0.0031567528182928194,-0.004624105979172139,0.00030822161484564897,37.695,2.58,0.02,CALL
BBDCA340,2022-01-03T00:00:00.000Z,19.69,30.04,0.7,273,OTM,0.19729,0.03671548125350412,0.05690527606546971,-0.004098754183500724,0.034500149558182286,36.902,10.83,0.7,CALL
BBDCA402,2022-01-03T00:00:00.000Z,19.69,35.7,0.01,13,OTM,0.007168,0.00436338459431363,0.0008899568062678271,-0.0035011019888214518,6.764785642607879e-05,101.98,0.37,0.01,CALL
BBDCA906,2022-01-03T00:00:00.000Z,19.69,24.39,0.01,13,OTM,0.015298,0.020297333513019447,0.0017224912738799815,-0.002834187617658301,0.00015022581830357077,42.431,1.2,0.01,CALL
BBDCB109,2022-01-03T00:00:00.000Z,19.69,10.69,9.0,33,ITM,1.0,0.0,0.0,-0.0008461935788689526,0.013962153434045934,0.0,100.0,9.028,CALL
BBDCB183,2022-01-03T00:00:00.000Z,19.69,19.94,0.88,33,ATM,0.49242,0.16379647299211014,0.028420594430080236,-0.015416534798731975,0.011544393830219522,34.176,44.33,0.88,CALL
BBDCB188,2022-01-03T00:00:00.000Z,19.69,20.19,0.8,33,ATM,0.454849,0.15857231610642863,0.0282435312837951,-0.015660193135848495,0.010680425662858413,35.082,40.5,0.8,CALL
BBDCB194,2022-01-03T00:00:00.000Z,19.69,19.19,1.34,33,ATM,0.609428,0.14480259910574642,0.02734959396657449,-0.016262267295765395,0.013958996145776168,37.202,55.69,1.34,CALL
BBDCB199,2022-01-03T00:00:00.000Z,19.69,19.69,1.02,33,ATM,0.533493,0.1592302054328841,0.028325543228010067,-0.01579055299847515,0.012420105513896313,35.039,48.3,1.02,CALL
BBDCB201,2022-01-03T00:00:00.000Z,19.69,22.44,0.17,33,OTM,0.149976,0.10120160032412877,0.01661144448532686,-0.008358191001251632,0.0036444279859324247,32.331,12.43,0.17,CALL
BBDCB206,2022-01-03T00:00:00.000Z,19.69,20.44,0.66,33,ATM,0.410579,0.1628724131123814,0.02770863670063113,-0.0146573663868217,0.009722279596774292,33.509,36.42,0.66,CALL
BBDCB208,2022-01-03T00:00:00.000Z,19.69,21.19,0.4,33,OTM,0.292644,0.14900508487175876,0.02449364023240928,-0.012441552110403414,0.007021854106923935,32.378,25.37,0.4,CALL
