symbol,time,spot_price,strike,premium,days_to_maturity,moneyness,delta,gamma,vega,theta,rho,volatility,poe,bs_theoretical,option_type
ABEVA135,2022-01-03T00:00:00.000Z,15.33,12.97,2.19,13,ITM,1.0,0.0,0.0,-0.0010283035899228156,0.006683934258961886,0.0,100.0,2.3734,CALL
ABEVA145,2022-01-03T00:00:00.000Z,15.33,13.97,1.45,13,ITM,0.881866,0.1570779007854229,0.006888492649240954,-0.010541660492201664,0.006226031465963854,36.173,86.48,1.45,CALL
ABEVA150,2022-01-03T00:00:00.000Z,15.33,14.47,1.06,13,ITM,0.767632,0.23335495855196683,0.010633206764927019,-0.016221319993111077,0.005523833668932894,37.586,74.08,1.06,CALL
ABEVA152,2022-01-03T00:00:00.000Z,15.33,14.72,0.77,13,ATM,0.755304,0.3247046148533143,0.010938462124365228,-0.012548222177445991,0.005575932096968952,27.787,73.51,0.77,CALL
ABEVA155,2022-01-03T00:00:00.000Z,15.33,14.97,0.66,13,ATM,0.644943,0.32779322313394904,0.012963446861927361,-0.016996983708044706,0.00475992228234809,32.621,61.7,0.66,CALL
ABEVA160,2022-01-03T00:00:00.000Z,15.33,15.47,0.36,13,ATM,0.466559,0.3798682756453396,0.013841817678916943,-0.016540469685380768,0.003503968241419077,30.056,43.95,0.36,CALL
ABEVA162,2022-01-03T00:00:00.000Z,15.33,15.72,0.24,13,ATM,0.366531,0.38049328500719404,0.013105820440659293,-0.014748317395561076,0.002774825918149107,28.411,34.25,0.24,CALL
ABEVA165,2022-01-03T00:00:00.000Z,15.33,15.97,0.17,13,ATM,0.282139,0.3367773522646117,0.011763943367842016,-0.01336647449554489,0.002143539427771339,28.813,26.05,0.17,CALL
ABEVA167,2022-01-03T00:00:00.000Z,15.33,16.22,0.13,13,OTM,0.221116,0.28073756101296593,0.010339511206941248,-0.012339741021120728,0.001681586500428717,30.379,20.12,0.13,CALL
ABEVA170,2022-01-03T00:00:00.000Z,15.33,16.47,0.1,13,OTM,0.173423,0.23102150814516492,0.008923888171846096,-0.011139110186475211,0.0013198924014488328,31.862,15.55,0.1,CALL
ABEVA172,2022-01-03T00:00:00.000Z,15.33,16.72,0.06,13,OTM,0.117414,0.18325155122181025,0.006858757497312105,-0.008282281066032446,0.0008975930246509587,30.873,10.42,0.06,CALL
ABEVA175,2022-01-03T00:00:00.000Z,15.33,16.97,0.04,13,OTM,0.083027,0.14081000692773832,0.005323393024882861,-0.006482654038307735,0.0006359659709856641,31.184,7.27,0.04,CALL
ABEVA177,2022-01-03T00:00:00.000Z,15.33,17.22,0.04,13,OTM,0.076355,0.11935517746743186,0.004996445628381804,-0.006725407060320503,0.0005831983507497619,34.53,6.57,0.04,CALL
ABEVA180,2022-01-03T00:00:00.000Z,15.33,17.47,0.03,13,OTM,0.058409,0.09440532203621453,0.004061215908465044,-0.005611369410626444,0.0004464385522454535,35.484,4.96,0.03,CALL
ABEVA182,2022-01-03T00:00:00.000Z,15.33,17.72,0.03,13,OTM,0.054568,0.08250512386462965,0.003849204971585923,-0.005761266396890837,0.00041606261165496336,38.483,4.56,0.03,CALL
ABEVA185,2022-01-03T00:00:00.000Z,15.33,17.97,0.02,13,OTM,0.03849,0.06253571970199785,0.002907951620189431,-0.004335177946119419,0.000294071128227311,38.356,3.18,0.02,CALL
ABEVA187,2022-01-03T00:00:00.000Z,15.33,18.22,0.01,13,OTM,0.021708,0.040647667864488035,0.001806984987882358,-0.0025740789094091756,0.00016651266449532737,36.669,1.77,0.01,CALL
ABEVA190,2022-01-03T00:00:00.000Z,15.33,18.47,0.01,13,OTM,0.020533,0.03637869103665275,0.0017239076196127604,-0.002615893036299518,0.00015722317084608048,39.088,1.65,0.01,CALL
