symbol,time,spot_price,strike,premium,days_to_maturity,moneyness,delta,gamma,vega,theta,rho,volatility,poe,bs_theoretical,option_type
B3SAA112,2024-01-02T00:00:00.000Z,14.17,11.2,2.95,13,ITM,1.0,0.0,0.0,-0.0008879722596095246,0.005771785944516046,0.0,100.0,2.9815,CALL
B3SAA116,2024-01-02T00:00:00.000Z,14.17,11.45,2.8,13,ITM,0.931988,0.06123285747365946,0.004226370374536918,-0.011657672985215183,0.005368278276249003,66.635,90.98,2.8,CALL
B3SAA117,2024-01-02T00:00:00.000Z,14.17,11.7,2.62,13,ITM,0.889387,0.07878234990400916,0.006075888161860254,-0.018191894880640432,0.0051497393928824865,74.456,85.41,2.62,CALL
B3SAA120,2024-01-02T00:00:00.000Z,14.17,11.95,2.2,13,ITM,1.0,0.0,0.0,-0.0009474346877083767,0.006158289467586317,0.0,100.0,2.2323,CALL
B3SAA123,2024-01-02T00:00:00.000Z,14.17,12.2,2.1,13,ITM,0.88191,0.1034553689104082,0.006365576323826205,-0.015368722510684019,0.0053633254139691675,59.403,85.31,2.1,CALL
B3SAA125,2024-01-02T00:00:00.000Z,14.17,12.45,1.7,13,ITM,1.0,0.0,0.0,-0.0009870763064409448,0.006415958482966498,0.0,100.0,1.7328,CALL
B3SAA127,2024-01-02T00:00:00.000Z,14.17,12.7,1.47,13,ITM,1.0,0.0,0.0,-0.001006897115807229,0.006544792990656587,0.0,100.0,1.4831,CALL
B3SAA130,2024-01-02T00:00:00.000Z,14.17,12.95,1.28,13,ITM,0.904725,0.16712499249401466,0.005451293321367729,-0.0075183466889367605,0.005953115979115177,31.49,89.2,1.28,CALL
B3SAA133,2024-01-02T00:00:00.000Z,14.17,13.2,1.05,13,ITM,0.865649,0.22767414708968167,0.006964681438257511,-0.008801299268228894,0.005786126565100832,29.533,85.06,1.05,CALL
B3SAA136,2024-01-02T00:00:00.000Z,14.17,13.45,0.88,13,ITM,0.771967,0.28382762299227104,0.009725617852257194,-0.013172852173723387,0.00518901809685042,33.081,74.86,0.88,CALL
B3SAA137,2024-01-02T00:00:00.000Z,14.17,13.7,0.7,13,ATM,0.692883,0.33295753038235903,0.011307911907905905,-0.014983848859988864,0.004703776992363935,32.788,66.62,0.7,CALL
B3SAA140,2024-01-02T00:00:00.000Z,14.17,13.95,0.48,13,ATM,0.617175,0.43080127523957895,0.012281670937840558,-0.013657293712450398,0.004263861722899734,27.523,59.31,0.48,CALL
B3SAA143,2024-01-02T00:00:00.000Z,14.17,14.2,0.4,13,ATM,0.508384,0.39047482696456925,0.012836716159623117,-0.016209805273797416,0.003509873020649191,31.738,47.96,0.4,CALL
B3SAA145,2024-01-02T00:00:00.000Z,14.17,14.45,0.31,13,ATM,0.41743,0.36580973739569517,0.012563570572398916,-0.016466965780173908,0.002891446280644398,33.157,38.83,0.31,CALL
B3SAA15,2024-01-02T00:00:00.000Z,14.17,14.95,0.15,13,OTM,0.249622,0.3038287094660259,0.010219127270720243,-0.01303168189171506,0.0017473283430743667,32.472,22.68,0.15,CALL
B3SAA150,2024-01-02T00:00:00.000Z,14.17,14.7,0.22,13,ATM,0.329551,0.3424407874760141,0.011649030097960023,-0.015067578094549713,0.0022954883303145596,32.842,30.3,0.22,CALL
B3SAA153,2024-01-02T00:00:00.000Z,14.17,15.2,0.1,13,OTM,0.182646,0.25463328808532204,0.008522580023761772,-0.010789424489414685,0.0012835301706119028,32.313,16.39,0.1,CALL
B3SAA155,2024-01-02T00:00:00.000Z,14.17,15.45,0.07,13,OTM,0.134888,0.20448516907880426,0.006983766548805875,-0.009002735706489389,0.0009499031380899126,32.972,11.93,0.07,CALL
B3SAA160,2024-01-02T00:00:00.000Z,14.17,15.95,0.03,13,OTM,0.065709,0.11896646084874103,0.00411523903098971,-0.005357366033420215,0.00046485361051636244,33.396,5.66,0.03,CALL
B3SAA165,2024-01-02T00:00:00.000Z,14.17,16.45,0.01,13,OTM,0.025609,0.05643794350096827,0.00191932487801372,-0.002451685158573239,0.00018204176795341454,32.832,2.15,0.01,CALL
B3SAA170,2024-01-02T00:00:00.000Z,14.17,16.95,0.02,13,OTM,0.03752,0.059274023059932054,0.0026324900797694718,-0.004381892162182549,0.00026394487921948493,42.877,3.02,0.02,CALL
B3SAA175,2024-01-02T00:00:00.000Z,14.17,17.45,0.01,13,OTM,0.020119,0.03481906794503228,0.0015661376888775847,-0.0026375557589828876,0.00014190399548820383,43.424,1.58,0.01,CALL
B3SAB114,2024-01-02T00:00:00.000Z,14.17,11.31,2.92,33,ITM,0.961868,0.04375354660727578,0.004250023978463127,-0.003228867528539107,0.014024531529160382,36.943,94.94,2.92,CALL
B3SAB121,2024-01-02T00:00:00.000Z,14.17,12.06,2.28,33,ITM,0.877379,0.09505141404398045,0.010414591895778345,-0.00738129090280602,0.013294851601685939,41.671,84.4,2.28,CALL
B3SAB124,2024-01-02T00:00:00.000Z,14.17,12.31,2.16,33,ITM,0.817638,0.10666271525685952,0.01356553628066524,-0.010689929879617876,0.012343438976744368,48.37,76.77,2.16,CALL
B3SAB126,2024-01-02T00:00:00.000Z,14.17,12.56,1.8,33,ITM,0.845331,0.12971471852203023,0.012201506409025729,-0.0074214835887952664,0.013328730264147149,35.774,81.25,1.8,CALL
B3SAB129,2024-01-02T00:00:00.000Z,14.17,12.81,1.65,33,ITM,0.789122,0.1443161522974488,0.014814448410045786,-0.009519671967185587,0.012482151142578892,39.041,74.6,1.65,CALL
B3SAB131,2024-01-02T00:00:00.000Z,14.17,13.06,1.42,33,ITM,0.761751,0.1678888067579307,0.015877121056181543,-0.009396182966314443,0.012275449310617604,35.967,71.96,1.42,CALL
B3SAB134,2024-01-02T00:00:00.000Z,14.17,13.31,1.15,33,ITM,0.742198,0.20800859917224598,0.016559725681995055,-0.008340204575679286,0.012266201584737289,30.278,70.56,1.15,CALL
B3SAB136,2024-01-02T00:00:00.000Z,14.17,13.56,1.09,33,ATM,0.663443,0.19694577082576034,0.018714914415689603,-0.010907492706965264,0.010883386486660998,36.14,61.45,1.09,CALL
B3SAB139,2024-01-02T00:00:00.000Z,14.17,13.81,0.9,33,ATM,0.614991,0.2197587090369135,0.019600936450652914,-0.010694450201716332,0.010233153471770283,33.922,56.73,0.9,CALL
