symbol,time,spot_price,strike,premium,days_to_maturity,moneyness,delta,gamma,vega,theta,rho,volatility,poe,bs_theoretical,option_type
BBASA452,2020-01-02T00:00:00.000Z,53.8,44.81,8.94,13,ITM,1.0,0.0,0.0,-0.0035526818708127507,0.023092297158371786,0.0,100.0,9.0362,CALL
BBASA455,2020-01-02T00:00:00.000Z,53.8,45.06,8.75,13,ITM,1.0,0.0,0.0,-0.0035725026801790346,0.02322113166606188,0.0,100.0,8.7865,CALL
BBASA472,2020-01-02T00:00:00.000Z,53.8,46.81,6.91,13,ITM,1.0,0.0,0.0,-0.0037112483457430226,0.02412297321989251,0.0,100.0,7.0383,CALL
BBASA477,2020-01-02T00:00:00.000Z,53.8,47.31,6.39,13,ITM,1.0,0.0,0.0,-0.003750889964475591,0.02438064223527269,0.0,100.0,6.5388,CALL
BBASA479,2020-01-02T00:00:00.000Z,53.8,47.81,5.6,13,ITM,1.0,0.0,0.0,-0.003790531583208159,0.024638311250652873,0.0,100.0,6.0393,CALL
BBASA483,2020-01-02T00:00:00.000Z,53.8,48.31,5.35,13,ITM,1.0,0.0,0.0,-0.0038301732019407272,0.024895980266033055,0.0,100.0,5.5398,CALL
BBASA490,2020-01-02T00:00:00.000Z,53.8,48.56,5.4,13,ITM,0.934961,0.033687473598953445,0.015500887989423203,-0.0219360970549832,0.023163018604187686,30.817,92.56,5.4,CALL
BBASA495,2020-01-02T00:00:00.000Z,53.8,49.06,5.0,13,ITM,0.896367,0.04390298331581266,0.022009344931897604,-0.03185185977286459,0.022298240532572726,33.574,88.2,5.0,CALL
BBASA498,2020-01-02T00:00:00.000Z,53.8,48.81,5.0,13,ITM,1.0,0.0,0.0,-0.0038698148206732954,0.025153649281413233,0.0,100.0,5.0403,CALL
BBASA503,2020-01-02T00:00:00.000Z,53.8,49.31,4.25,13,ITM,1.0,0.0,0.0,-0.003909456439405863,0.02541131829679341,0.0,100.0,4.5408,CALL
BBASA508,2020-01-02T00:00:00.000Z,53.8,49.81,4.05,13,ITM,0.987096,0.01750799007459217,0.004064318314094984,-0.006323637287986887,0.02530641286638914,15.547,98.59,4.05,CALL
BBASA513,2020-01-02T00:00:00.000Z,53.8,50.31,3.75,13,ITM,0.875121,0.06291551958317428,0.025137162973624835,-0.02930917077123738,0.022353444552490314,26.758,86.22,3.75,CALL
BBASA518,2020-01-02T00:00:00.000Z,53.8,50.81,3.4,13,ITM,0.819961,0.07392765347013232,0.03206829142472659,-0.03906309955979432,0.021003075781375554,29.051,80.21,3.4,CALL
BBASA525,2020-01-02T00:00:00.000Z,53.8,51.31,3.03,13,ATM,0.774548,0.0830228279893741,0.03668932884645564,-0.044831136573343325,0.019933588308953053,29.596,75.39,3.03,CALL
BBASA527,2020-01-02T00:00:00.000Z,53.8,52.31,2.01,13,ATM,0.726961,0.12278186000498258,0.0406290085543639,-0.03757529452701964,0.019139059020265557,22.161,71.0,2.01,CALL
BBASA528,2020-01-02T00:00:00.000Z,53.8,51.81,2.49,13,ATM,0.760122,0.10116846461806842,0.03797652794211351,-0.03976857748271794,0.019811764315538778,25.14,74.2,2.49,CALL
BBASA532,2020-01-02T00:00:00.000Z,53.8,52.81,1.83,13,ATM,0.642657,0.11902844581927717,0.045597689931584376,-0.047593290073183143,0.01689213365173378,25.656,62.07,1.83,CALL
BBASA54,2020-01-02T00:00:00.000Z,53.8,54.81,0.84,13,ATM,0.392494,0.12278477108872113,0.046967737041942834,-0.047887707228633974,0.010459882787845076,25.618,37.03,0.84,CALL
BBASA543,2020-01-02T00:00:00.000Z,53.8,53.31,1.44,13,ATM,0.585657,0.13484455032662082,0.0476206233878798,-0.04570564795877861,0.01551137191841338,23.651,56.46,1.44,CALL
BBASA548,2020-01-02T00:00:00.000Z,53.8,53.81,1.25,13,ATM,0.517304,0.12950492302399705,0.04870277975688931,-0.049288262869109305,0.013712347816980051,25.186,49.45,1.2499,CALL
BBASA55,2020-01-02T00:00:00.000Z,53.8,55.81,0.5,13,ATM,0.274209,0.10919084152593286,0.04071503363157513,-0.04023753841892043,0.007352408479554537,24.973,25.56,0.5,CALL
BBASA553,2020-01-02T00:00:00.000Z,53.8,54.31,1.06,13,ATM,0.455187,0.12462798681620135,0.04844079429447328,-0.05035828219290567,0.01208634156930504,26.031,43.18,1.06,CALL
