symbol,time,spot_price,strike,premium,days_to_maturity,moneyness,delta,gamma,vega,theta,rho,volatility,poe,bs_theoretical,option_type
BBDCA117,2024-01-02T00:00:00.000Z,16.75,13.02,3.99,13,ITM,0.884138,0.04968115830003157,0.007423694994271671,-0.030337341228558957,0.005581357555143276,103.242,83.18,3.99,CALL
BBDCA122,2024-01-02T00:00:00.000Z,16.75,12.77,4.0,13,ITM,0.990277,0.012981475125505166,0.0009893314286316386,-0.003002615536998682,0.0064933279645941365,52.656,98.67,4.0,CALL
BBDCA127,2024-01-02T00:00:00.000Z,16.75,13.77,3.07,13,ITM,0.930604,0.05702976005470676,0.005074104183570267,-0.012990567789437748,0.0064574611075926555,61.474,91.0,3.07,CALL
BBDCA129,2024-01-02T00:00:00.000Z,16.75,12.27,4.55,13,ITM,0.958706,0.027738243151095663,0.003364221427952155,-0.011756358972564827,0.005936793353003945,83.798,93.89,4.55,CALL
BBDCA134,2024-01-02T00:00:00.000Z,16.75,14.27,2.55,13,ITM,0.93471,0.06860028914265377,0.0048404385948505775,-0.010116363319083483,0.006761195602057148,48.752,91.94,2.55,CALL
BBDCA136,2024-01-02T00:00:00.000Z,16.75,13.52,3.33,13,ITM,0.929415,0.052253537399616606,0.005140871215189131,-0.014411797667200946,0.0063130714100333605,67.975,90.61,3.33,CALL
BBDCA141,2024-01-02T00:00:00.000Z,16.75,13.27,3.56,13,ITM,0.943607,0.04367393567332003,0.004316422017347322,-0.012308509047337502,0.0063170426152051595,68.286,92.37,3.56,CALL
BBDCA144,2024-01-02T00:00:00.000Z,16.75,16.52,0.53,13,ATM,0.610136,0.38529778964128025,0.014595197024098077,-0.015461089274303416,0.004998659113203634,26.172,58.72,0.53,CALL
BBDCA146,2024-01-02T00:00:00.000Z,16.75,14.02,2.76,13,ITM,0.974703,0.03757480102687131,0.0022456168520607477,-0.004643120105494859,0.006998433062065578,41.292,96.86,2.76,CALL
BBDCA15,2024-01-02T00:00:00.000Z,16.75,14.52,2.33,13,ITM,0.908046,0.08709079166560041,0.006277166201167588,-0.01304524550179712,0.006644293200211003,49.799,88.8,2.33,CALL
BBDCA156,2024-01-02T00:00:00.000Z,16.75,14.77,2.08,13,ITM,0.900437,0.10149862951991931,0.006655284450318515,-0.012628574789725167,0.006707504563064068,45.304,88.12,2.08,CALL
BBDCA157,2024-01-02T00:00:00.000Z,16.75,15.02,1.85,13,ITM,0.877615,0.1225518593529602,0.007716404704400179,-0.01393112726844419,0.006628951937465127,43.504,85.64,1.85,CALL
