symbol,time,spot_price,strike,premium,days_to_maturity,moneyness,delta,gamma,vega,theta,rho,volatility,poe,bs_theoretical,option_type
ELETA34,2020-01-02T00:00:00.000Z,38.18,33.99,3.62,13,ITM,1.0,0.0,0.0,-0.0026948372414399777,0.017516339665544677,0.0,100.0,4.2251,CALL
ELETA37,2020-01-02T00:00:00.000Z,38.18,36.99,1.65,13,ATM,0.715852,0.1467335349472625,0.029398573363195925,-0.032164102927639646,0.013248164300505086,26.643,69.5,1.65,CALL
ELETA38,2020-01-02T00:00:00.000Z,38.18,37.99,0.9,13,ATM,0.556807,0.20132770135675296,0.03424390599253664,-0.03140644664796396,0.01050255064844597,22.619,53.65,0.9,CALL
ELETA39,2020-01-02T00:00:00.000Z,38.18,38.99,0.58,13,ATM,0.379675,0.16783602254518368,0.033009484337437486,-0.03430989621192214,0.007178857786885933,26.154,35.73,0.58,CALL
ELETA400,2020-01-02T00:00:00.000Z,38.18,39.99,0.36,13,ATM,0.251913,0.12931950102205625,0.027668128394632275,-0.031011749773965876,0.004775948032526562,28.451,23.17,0.36,CALL
ELETA45,2020-01-02T00:00:00.000Z,38.18,45.49,0.02,13,OTM,0.018167,0.014319965997161125,0.0038691552797480823,-0.005400426303795629,0.00034749154260691834,35.93,1.48,0.02,CALL
ELETA7,2020-01-02T00:00:00.000Z,38.18,37.49,1.16,13,ATM,0.661919,0.19540594483696852,0.03170508177080585,-0.02822464119665056,0.012438713661959318,21.576,64.38,1.16,CALL
ELETA8,2020-01-02T00:00:00.000Z,38.18,38.49,0.81,13,ATM,0.466485,0.16947191533412748,0.03447309998160774,-0.0372149943139862,0.008769986590504857,27.05,44.21,0.81,CALL
ELETA9,2020-01-02T00:00:00.000Z,38.18,39.49,0.44,13,ATM,0.305998,0.15104267641746622,0.030419236719747878,-0.03222616778373464,0.00579990846649943,26.782,28.5,0.44,CALL
ELETB37,2020-01-02T00:00:00.000Z,38.18,36.99,1.92,33,ATM,0.684143,0.11965883579299004,0.0491375596241633,-0.01793674490870985,0.03169117749322555,21.512,65.6,1.92,CALL
ELETB38,2020-01-02T00:00:00.000Z,38.18,37.99,1.75,33,ATM,0.549679,0.09820850554687399,0.054691162605340994,-0.02570128344601346,0.025190886968083193,29.173,50.77,1.75,CALL
ELETB39,2020-01-02T00:00:00.000Z,38.18,38.99,1.3,33,ATM,0.452153,0.09781370307980977,0.05472224929731943,-0.025566656448084993,0.02090415581736319,29.308,41.05,1.3,CALL
ELETB40,2020-01-02T00:00:00.000Z,38.18,39.99,0.93,33,ATM,0.3591,0.0926820912394309,0.05164452862837938,-0.02385590130230657,0.016736240946687467,29.191,32.04,0.93,CALL
ELETB8,2020-01-02T00:00:00.000Z,38.18,38.49,1.44,33,ATM,0.498562,0.10342451918169593,0.05511877732388874,-0.0247121642747162,0.023041128169685152,27.919,45.83,1.44,CALL
ELETM35,2020-01-02T00:00:00.000Z,38.18,34.99,0.25,13,OTM,-0.14281999999999995,0.06858405821713227,0.0195638705654123,-0.028090643205315898,-0.0029419403428629525,37.933,16.32,0.25,CALL
ELETM36,2020-01-02T00:00:00.000Z,38.18,35.99,0.38,13,OTM,-0.21257000000000004,0.09586627604211147,0.02517075507217352,-0.033127824990702825,-0.004382771098399916,34.916,23.63,0.38,CALL
ELETM37,2020-01-02T00:00:00.000Z,38.18,36.99,0.9,13,ATM,-0.34826100000000004,0.1013674044012801,0.03206157684801784,-0.050739971162767884,-0.0073236038149265955,42.061,38.42,0.9,CALL
ELETM38,2020-01-02T00:00:00.000Z,38.18,37.99,1.13,13,ATM,-0.454414,0.1269674714596708,0.03436912586397768,-0.046117440883410764,-0.009533024195691608,35.997,48.69,1.13,CALL
ELETM39,2020-01-02T00:00:00.000Z,38.18,38.99,1.98,13,ATM,-0.557744,0.10159151279904959,0.034232199148599984,-0.05714971294889179,-0.01200669043369959,44.809,59.76,1.98,CALL
ELETM5,2020-01-02T00:00:00.000Z,38.18,35.49,0.4,13,OTM,-0.19667599999999996,0.07912950892668436,0.024033196710979934,-0.03670605328117668,-0.0040800423324828744,40.389,22.31,0.4,CALL
ELETM7,2020-01-02T00:00:00.000Z,38.18,37.49,0.92,13,ATM,-0.392111,0.12136050373038633,0.03332227386395261,-0.045534847542512455,-0.008197601582807922,36.513,42.43,0.92,CALL
ELETN35,2020-01-02T00:00:00.000Z,38.18,34.99,1.02,33,OTM,-0.258444,0.0536431677466713,0.04467655024372084,-0.028669644482151528,-0.014257246315795478,43.63,31.2,1.02,CALL
ELETN36,2020-01-02T00:00:00.000Z,38.18,35.99,0.98,33,OTM,-0.293991,0.06978292680214608,0.04759579786510862,-0.024798234841232294,-0.015982159654915482,35.73,34.0,0.98,CALL
ELETN37,2020-01-02T00:00:00.000Z,38.18,36.99,1.36,33,ATM,-0.370815,0.07649878507849377,0.05220339826861381,-0.027044330758687556,-0.020320746530830387,35.749,42.06,1.36,CALL
ELETA37,2020-01-03T00:00:00.000Z,37.6,36.99,1.2,12,ATM,0.631277,0.17793579132466578,0.030944540043972974,-0.035095762606086475,0.010731431003961352,25.832,60.98,1.2,CALL
ELETA38,2020-01-03T00:00:00.000Z,37.6,37.99,0.78,12,ATM,0.453144,0.16775971968549594,0.032507098067315374,-0.04027572940255443,0.00774199652051718,28.783,42.84,0.78,CALL
ELETA39,2020-01-03T00:00:00.000Z,37.6,38.99,0.44,12,ATM,0.299955,0.14551676222681012,0.028526201712740368,-0.03547070336914858,0.0051611036273924256,29.119,27.82,0.44,CALL
ELETA400,2020-01-03T00:00:00.000Z,37.6,39.99,0.15,12,OTM,0.143561,0.10839236404534781,0.018575683873902637,-0.02011912729404806,0.002498990876008207,25.456,13.14,0.15,CALL
ELETA7,2020-01-03T00:00:00.000Z,37.6,37.49,0.92,12,ATM,0.538633,0.1870433649510645,0.032579548116391785,-0.0366564792103408,0.009205993219318297,25.873,51.62,0.92,CALL
ELETA9,2020-01-03T00:00:00.000Z,37.6,39.49,0.3,12,ATM,0.228418,0.12965486578653165,0.02481803917824466,-0.030059986045690202,0.00394690892546729,28.433,21.01,0.3,CALL
ELETB38,2020-01-03T00:00:00.000Z,37.6,37.99,1.53,32,ATM,0.494245,0.09545833618193734,0.05344750930849279,-0.027399207504440998,0.02165531541768496,31.188,45.0,1.53,CALL
ELETB40,2020-01-03T00:00:00.000Z,37.6,39.99,0.7,32,OTM,0.300525,0.08995600844693298,0.046623154414397606,-0.02187268130648346,0.013459933954919847,28.87,26.57,0.7,CALL
ELETM5,2020-01-03T00:00:00.000Z,37.6,35.49,0.42,12,OTM,-0.22538800000000003,0.09696426270186888,0.024631785937697125,-0.03802103163064714,-0.004235527806978998,37.734,25.09,0.42,CALL
ELETN365,2020-01-03T00:00:00.000Z,37.6,36.49,1.5,32,ATM,-0.38066999999999995,0.07305497210708968,0.05104365029459292,-0.029785536430112343,-0.02008023059688765,38.92,43.45,1.5,CALL
ELETN37,2020-01-03T00:00:00.000Z,37.6,36.99,1.55,32,ATM,-0.41585399999999995,0.08189162733679842,0.05225958143283167,-0.027662083640755022,-0.021823633149938744,35.547,46.58,1.55,CALL
ELETN39,2020-01-03T00:00:00.000Z,37.6,38.99,2.75,32,ATM,-0.573554,0.07794731207601265,0.052541891835946715,-0.02889539890262595,-0.030876937264623476,37.547,62.52,2.75,CALL
ELETR342,2020-01-03T00:00:00.000Z,37.6,34.25,2.07,117,OTM,-0.297717,0.03628373986823002,0.08877053498809,-0.013087249360865178,-0.06158369816455411,37.273,39.09,2.07,CALL
ELETA37,2020-01-06T00:00:00.000Z,37.78,36.99,1.3,10,ATM,0.663907,0.17412984367388498,0.027453191528051292,-0.040095028708316396,0.009437572507420154,27.835,64.35,1.3,CALL
