symbol,time,spot_price,strike,premium,days_to_maturity,moneyness,delta,gamma,vega,theta,rho,volatility,poe,bs_theoretical,option_type
ITUBA339,2020-01-02T00:00:00.000Z,38.03,33.86,3.94,13,ITM,1.0,0.0,0.0,-0.00268453042056951,0.01744934572154583,0.0,100.0,4.2049,CALL
ITUBA351,2020-01-02T00:00:00.000Z,38.03,35.11,2.89,13,ITM,1.0,0.0,0.0,-0.00278363446740093,0.01809351825999628,0.0,100.0,2.9562,CALL
ITUBA36,2020-01-02T00:00:00.000Z,38.03,36.36,1.92,13,ATM,0.813149,0.13266721054664898,0.023199219028426032,-0.023215057427109973,0.014962327167921693,23.438,79.85,1.92,CALL
ITUBA366,2020-01-02T00:00:00.000Z,38.03,36.61,1.75,13,ATM,0.768335,0.14473885696409167,0.026334001169372328,-0.026879451849371058,0.014170835822692433,24.386,75.11,1.75,CALL
ITUBA367,2020-01-02T00:00:00.000Z,38.03,35.86,2.35,13,ITM,0.867396,0.10250091772391946,0.018524513598358428,-0.019689977119872127,0.01580474294961914,24.223,85.52,2.35,CALL
ITUBA369,2020-01-02T00:00:00.000Z,38.03,36.11,2.11,13,ITM,0.852727,0.1171823651573004,0.019893929339088134,-0.019816941815902003,0.01564076232123725,22.754,84.05,2.11,CALL
ITUBA374,2020-01-02T00:00:00.000Z,38.03,37.36,1.22,13,ATM,0.645418,0.17991776975121243,0.03214386880864075,-0.03145576289368202,0.012032796463735508,23.946,62.5,1.22,CALL
ITUBA376,2020-01-02T00:00:00.000Z,38.03,37.61,1.07,13,ATM,0.598825,0.18688539248067054,0.03339650329028969,-0.03248790924482462,0.011196088411465355,23.952,57.77,1.07,CALL
ITUBA379,2020-01-02T00:00:00.000Z,38.03,37.11,1.35,13,ATM,0.697338,0.17651163409856116,0.030152281907290624,-0.028549969150311882,0.012984314362011005,22.896,67.89,1.35,CALL
ITUBA38,2020-01-02T00:00:00.000Z,38.03,38.36,0.61,13,ATM,0.447985,0.21224562716045112,0.03416603305149575,-0.029655910490967802,0.008474125590229111,21.576,42.87,0.61,CALL
ITUBA381,2020-01-02T00:00:00.000Z,38.03,38.11,0.78,13,ATM,0.502421,0.19898195706227878,0.03445867721256502,-0.032216899121031525,0.009454392316256914,23.211,48.14,0.78,CALL
ITUBA386,2020-01-02T00:00:00.000Z,38.03,38.61,0.55,13,ATM,0.402628,0.19656154319937366,0.033427685268490985,-0.030477161775460063,0.007615235982242205,22.794,38.27,0.55,CALL
ITUBA389,2020-01-02T00:00:00.000Z,38.03,38.86,0.47,13,ATM,0.357295,0.1870504735762507,0.03223041823290032,-0.029670312490470932,0.006767137964889847,23.095,33.79,0.47,CALL
ITUBA391,2020-01-02T00:00:00.000Z,38.03,39.11,0.36,13,ATM,0.304003,0.18345493251274073,0.03021188181022386,-0.026537510825018394,0.00577836102907615,22.073,28.67,0.36,CALL
ITUBA394,2020-01-02T00:00:00.000Z,38.03,39.36,0.43,13,ATM,0.302027,0.15097872382947233,0.030123863982558695,-0.03186178200203372,0.0057035141271090835,26.743,28.12,0.43,CALL
ITUBA396,2020-01-02T00:00:00.000Z,38.03,39.61,0.25,13,ATM,0.227067,0.15468027138513477,0.02603971585155562,-0.023263704812233457,0.004325764111694528,22.564,21.19,0.25,CALL
ITUBA399,2020-01-02T00:00:00.000Z,38.03,39.86,0.19,13,ATM,0.186284,0.14058620498814905,0.023155598809612578,-0.020208174366842607,0.0035566156435991626,22.076,17.31,0.19,CALL
ITUBA4,2020-01-02T00:00:00.000Z,38.03,34.86,3.1,13,ITM,1.0,0.0,0.0,-0.0027638136580346463,0.01796468375230619,0.0,100.0,3.2059,CALL
ITUBA404,2020-01-02T00:00:00.000Z,38.03,40.36,0.17,13,OTM,0.155922,0.11190074075335299,0.02066319997028145,-0.020126856977125865,0.0029712888746350375,24.75,14.29,0.17,CALL
ITUBA406,2020-01-02T00:00:00.000Z,38.03,40.61,0.12,13,OTM,0.121206,0.09806059794457583,0.017400925863060582,-0.016274231870502972,0.0023159835557000127,23.784,11.07,0.12,CALL
ITUBA409,2020-01-02T00:00:00.000Z,38.03,40.86,0.11,13,OTM,0.109251,0.08753587435382003,0.01616237077877124,-0.0157046994039002,0.0020865938126720333,24.747,9.91,0.11,CALL
ITUBA427,2020-01-02T00:00:00.000Z,38.03,40.11,0.17,13,OTM,0.165173,0.12502661348506347,0.02145613780930622,-0.019466818831204283,0.003152744208522967,23.002,15.25,0.17,CALL
ITUBA435,2020-01-02T00:00:00.000Z,38.03,42.61,0.04,13,OTM,0.041521,0.036588717333649844,0.007672321417596539,-0.008415739568173134,0.0007939554185632035,28.105,3.62,0.04,CALL
ITUBA467,2020-01-02T00:00:00.000Z,38.03,44.11,0.02,13,OTM,0.020617,0.01841966317281519,0.004291279387863795,-0.0052144448265317375,0.00039414252814826074,31.226,1.73,0.02,CALL
ITUBA6,2020-01-02T00:00:00.000Z,38.03,36.86,1.54,13,ATM,0.736774,0.16135879534938474,0.02819550480432035,-0.027499776201026213,0.01366000013539865,23.42,71.91,1.54,CALL
