symbol,time,spot_price,strike,premium,days_to_maturity,moneyness,delta,gamma,vega,theta,rho,volatility,poe,bs_theoretical,option_type
MGLUA464,2020-01-02T00:00:00.000Z,49.33,46.41,3.0,13,ITM,0.95694,0.05074526915720869,0.01024938749650612,-0.00985099814202988,0.022804489788693438,16.089,95.35,3.0,CALL
MGLUA494,2020-01-02T00:00:00.000Z,49.33,49.41,1.14,13,ATM,0.507695,0.13785347042228024,0.04469000953186999,-0.04628562902531932,0.012331659271966772,25.824,48.43,1.14,CALL
MGLUA497,2020-01-02T00:00:00.000Z,49.33,49.66,1.0,13,ATM,0.472361,0.14039283945733663,0.04459096431283469,-0.04516254539897422,0.011504717122741781,25.301,44.95,1.0,CALL
MGLUA499,2020-01-02T00:00:00.000Z,49.33,49.91,0.78,13,ATM,0.428448,0.15392945023514598,0.04397742175691012,-0.04011051896776592,0.010500711391554044,22.759,40.83,0.78,CALL
MGLUA50,2020-01-02T00:00:00.000Z,49.33,50.66,0.71,13,ATM,0.352799,0.12044697052493687,0.041619943868084555,-0.04538785905047897,0.008611715361245479,27.526,32.99,0.71,CALL
MGLUA51,2020-01-02T00:00:00.000Z,49.33,51.66,0.45,13,ATM,0.248751,0.10112637161730682,0.035509727782009635,-0.039141119504867226,0.006098038525891517,27.972,22.91,0.45,CALL
MGLUA511,2020-01-02T00:00:00.000Z,49.33,51.16,0.4,13,ATM,0.260317,0.12433199788097332,0.03636539332247639,-0.033575614819480945,0.0064181682936694405,23.299,24.34,0.4,CALL
MGLUB500,2020-01-02T00:00:00.000Z,49.33,49.97,1.8,33,ATM,0.481007,0.07811977168174696,0.07113520880976532,-0.03253893818904765,0.028715213555051796,28.575,44.0,1.8,CALL
MGLUB505,2020-01-02T00:00:00.000Z,49.33,50.47,1.55,33,ATM,0.440812,0.07891622830967457,0.0704308008347513,-0.031489771977073325,0.026446148677997754,28.007,40.12,1.55,CALL
MGLUB530,2020-01-02T00:00:00.000Z,49.33,52.97,0.89,33,OTM,0.282241,0.0629910421747648,0.060323099780204045,-0.02850137535007619,0.017066892716556335,30.052,24.67,0.89,CALL
MGLUM400,2020-01-02T00:00:00.000Z,49.33,39.91,0.02,13,OTM,-0.011847000000000052,0.006510273298661798,0.003460756476880572,-0.005588531291585474,-0.00031179785464391363,42.346,1.52,0.02,CALL
MGLUM405,2020-01-02T00:00:00.000Z,49.33,40.41,0.03,13,OTM,-0.016924999999999968,0.00880560677395266,0.0047057683252066836,-0.0076362840385212185,-0.0004461715504583362,42.571,2.14,0.03,CALL
