symbol,time,spot_price,strike,premium,days_to_maturity,moneyness,delta,gamma,vega,theta,rho,volatility,poe,bs_theoretical,option_type
ELETA293,2022-01-03T00:00:00.000Z,32.63,29.3,4.9,13,ITM,0.718024,0.04366827625354167,0.025032659852828237,-0.10195590785643194,0.009558617495307202,104.368,63.3,4.9,CALL
ELETA298,2022-01-03T00:00:00.000Z,32.63,29.8,4.46,13,ITM,0.698295,0.04735088107064382,0.025834104578805115,-0.10015356924411571,0.009453491835195485,99.332,61.56,4.46,CALL
ELETA303,2022-01-03T00:00:00.000Z,32.63,30.3,2.99,13,ITM,0.750835,0.07974392853292503,0.023509144111020702,-0.050239411284564314,0.011096226269705174,53.674,71.06,2.99,CALL
ELETA315,2022-01-03T00:00:00.000Z,32.63,31.55,3.06,13,ATM,0.60884,0.061016247685715945,0.028459069508468063,-0.09428411914189386,0.008669952542284377,84.918,53.32,3.06,CALL
ELETA320,2022-01-03T00:00:00.000Z,32.63,32.05,1.7,13,ATM,0.591507,0.11184099957012726,0.02878508720308359,-0.0532755639870242,0.009079760759082399,46.859,54.97,1.7,CALL
ELETA33,2022-01-03T00:00:00.000Z,32.63,33.55,0.94,13,ATM,0.415445,0.11794048957058305,0.028899738117739243,-0.05058962016568735,0.006508216976990977,44.613,37.64,0.94,CALL
ELETA34,2022-01-03T00:00:00.000Z,32.63,34.05,0.86,13,ATM,0.371921,0.1063185256799635,0.028029221218227086,-0.052639841986311366,0.005816828936260147,47.999,33.15,0.86,CALL
ELETA340,2022-01-03T00:00:00.000Z,32.63,33.05,1.23,13,ATM,0.478172,0.11294985008106355,0.02952205468552432,-0.05517409186106009,0.007414472504122677,47.587,43.53,1.23,CALL
ELETA345,2022-01-03T00:00:00.000Z,32.63,34.55,0.71,13,OTM,0.323169,0.10065378060145581,0.02661198176059292,-0.05005016492915875,0.005073585727657299,48.136,28.5,0.71,CALL
ELETA355,2022-01-03T00:00:00.000Z,32.63,35.55,0.33,13,OTM,0.199461,0.09014105209690741,0.020714833777357642,-0.033824934106565924,0.003187250129932534,41.839,17.4,0.33,CALL
ELETA36,2022-01-03T00:00:00.000Z,32.63,36.05,0.31,13,OTM,0.179872,0.07878668962100105,0.01943825846711613,-0.03402398688591117,0.002867838825823577,44.919,15.44,0.31,CALL
ELETA360,2022-01-03T00:00:00.000Z,32.63,35.05,0.44,13,OTM,0.246984,0.10047167525789313,0.023399162238138357,-0.038764986139057954,0.00393045744524154,42.402,21.76,0.44,CALL
ELETA365,2022-01-03T00:00:00.000Z,32.63,36.55,0.22,13,OTM,0.139356,0.06852262505498627,0.016443920454942668,-0.027976648432333252,0.002232264058243823,43.692,11.85,0.22,CALL
ELETA375,2022-01-03T00:00:00.000Z,32.63,37.55,0.15,13,OTM,0.09807,0.05113583156497002,0.012822448609662456,-0.022757037332905444,0.0015734251798062424,45.653,8.13,0.15,CALL
ELETA38,2022-01-03T00:00:00.000Z,32.63,38.05,0.2,13,OTM,0.111422,0.04872177096456091,0.014064487833136331,-0.02870285194411592,0.0017723832278221845,52.556,9.04,0.2,CALL
ELETA380,2022-01-03T00:00:00.000Z,32.63,37.05,0.18,13,OTM,0.116306,0.05921507665374652,0.014501080294827641,-0.025153897242250995,0.0018648973552768226,44.586,9.77,0.18,CALL
ELETA400,2022-01-03T00:00:00.000Z,32.63,39.05,0.08,13,OTM,0.055457,0.03167300571030601,0.008298443578424554,-0.015362319752912516,0.0008922355756365543,47.702,4.43,0.08,CALL
ELETA405,2022-01-03T00:00:00.000Z,32.63,40.55,0.04,13,OTM,0.029591,0.01851712542939602,0.004985573160827691,-0.009473101717286901,0.00047747457385940377,49.019,2.28,0.04,CALL
ELETB275,2022-01-03T00:00:00.000Z,32.63,27.55,6.1,33,ITM,0.802116,0.036302563032667615,0.0328464256025341,-0.03388919207607168,0.02628605681125121,64.894,73.05,6.1,CALL
ELETB285,2022-01-03T00:00:00.000Z,32.63,28.55,5.05,33,ITM,0.782736,0.04508402158314765,0.03471148544799727,-0.030668797090772,0.026832945414513396,55.221,71.96,5.05,CALL
ELETB290,2022-01-03T00:00:00.000Z,32.63,29.05,4.6,33,ITM,0.76428,0.04962311800745506,0.03634711754545569,-0.03054539868133339,0.026633652457560594,52.534,70.2,4.6,CALL
ELETB300,2022-01-03T00:00:00.000Z,32.63,30.05,3.92,33,ITM,0.7068,0.05577179820571043,0.04062630518708819,-0.03367890699443722,0.025067988880563507,52.245,63.87,3.92,CALL
ELETB315,2022-01-03T00:00:00.000Z,32.63,31.55,2.7,33,ATM,0.619841,0.07210371135850677,0.044965004709829476,-0.03186302787848968,0.022949865030488112,44.727,55.69,2.7,CALL
ELETB320,2022-01-03T00:00:00.000Z,32.63,32.05,2.6,33,ATM,0.581192,0.06839434154225461,0.04612784797403469,-0.035106579635937156,0.021429353738540973,48.372,51.19,2.6,CALL
ELETB323,2022-01-03T00:00:00.000Z,32.63,32.3,2.4,33,ATM,0.563621,0.07131983056290557,0.04650640966219898,-0.03422450845496596,0.020940503678169596,46.769,49.64,2.4,CALL
ELETB335,2022-01-03T00:00:00.000Z,32.63,33.55,1.9,33,ATM,0.477024,0.0701121912926911,0.04702855557145116,-0.03536454626767825,0.01789499949118101,48.109,40.84,1.9,CALL
ELETB340,2022-01-03T00:00:00.000Z,32.63,33.05,2.08,33,ATM,0.510594,0.07121092510408301,0.04709019287688526,-0.03499680651236801,0.01909367890166528,47.428,44.23,2.08,CALL
ELETB343,2022-01-03T00:00:00.000Z,32.63,34.3,1.51,33,ATM,0.420033,0.07214855480115162,0.04615724967720153,-0.03305743460622505,0.015970503542463953,45.885,35.65,1.51,CALL
ELETB355,2022-01-03T00:00:00.000Z,32.63,35.55,1.07,33,OTM,0.333316,0.06865343455538846,0.04293262673831241,-0.02995412666113009,0.012841328440875132,44.852,27.66,1.07,CALL
ELETB358,2022-01-03T00:00:00.000Z,32.63,35.8,1.02,33,OTM,0.319816,0.06689989574895809,0.04221624066155236,-0.02969701228145734,0.012329901944107447,45.259,26.37,1.02,CALL
ELETB360,2022-01-03T00:00:00.000Z,32.63,35.05,1.22,33,OTM,0.366058,0.07087412972048181,0.04442609156423316,-0.03111328107542741,0.0140439201277295,44.958,30.68,1.22,CALL
ELETB380,2022-01-03T00:00:00.000Z,32.63,37.05,0.66,33,OTM,0.237134,0.06039509816288301,0.03646708594070676,-0.024489998820343924,0.009268340692927049,43.307,19.15,0.66,CALL
ELETB40,2022-01-03T00:00:00.000Z,32.63,40.05,0.35,33,OTM,0.134446,0.039053625205319686,0.025564958022266184,-0.018506507612048344,0.005286514252181911,46.95,10.11,0.35,CALL
ELETB415,2022-01-03T00:00:00.000Z,32.63,41.55,0.27,33,OTM,0.104673,0.03126723402388283,0.02142262409135808,-0.01619986991308013,0.004119067878527798,49.14,7.59,0.27,CALL
ELETB445,2022-01-03T00:00:00.000Z,32.63,44.55,0.1,33,OTM,0.045573,0.016882821142519502,0.01130690317328374,-0.008339205238213295,0.0018164087019728497,48.034,3.12,0.1,CALL
ELETC317,2022-01-03T00:00:00.000Z,32.63,31.75,3.32,53,ATM,0.600158,0.054383618455961374,0.05780710490054752,-0.027177676160155137,0.03420414737360631,47.468,51.44,3.32,CALL
ELETC332,2022-01-03T00:00:00.000Z,32.63,33.25,2.55,53,ATM,0.515003,0.05744612394914919,0.05965638396811892,-0.02723126277133022,0.029979716758234548,46.375,43.05,2.55,CALL
ELETI320,2022-01-03T00:00:00.000Z,32.63,32.0,9.25,443,ATM,0.66176,0.016680903786695213,0.15820490182839037,-0.010027546998278503,0.21698631619982733,50.671,39.95,9.25,CALL
ELETM285,2022-01-03T00:00:00.000Z,32.63,28.55,0.15,13,OTM,-0.09052899999999997,0.04772163151020578,0.012087556256898746,-0.021193246222296746,-0.0016012344174939671,46.116,10.88,0.15,CALL
ELETM295,2022-01-03T00:00:00.000Z,32.63,29.55,0.35,13,OTM,-0.170408,0.06952245458235502,0.01878311038336954,-0.03506660361388584,-0.0030490132025705174,49.189,20.02,0.35,CALL
ELETM298,2022-01-03T00:00:00.000Z,32.63,29.8,0.37,13,OTM,-0.183083,0.07526428179592623,0.019654738959494388,-0.03543835565847867,-0.0032726844662198827,47.545,21.31,0.37,CALL
ELETM303,2022-01-03T00:00:00.000Z,32.63,30.3,0.49,13,OTM,-0.22709199999999996,0.08540941375162839,0.02234366235027422,-0.04030452239648266,-0.0040753852896928365,47.629,26.1,0.49,CALL
ELETM305,2022-01-03T00:00:00.000Z,32.63,30.55,0.52,13,OTM,-0.24427,0.09207684125919702,0.023260721443971087,-0.040474337573110294,-0.004380004769004176,45.994,27.82,0.52,CALL
ELETM308,2022-01-03T00:00:00.000Z,32.63,30.8,0.55,13,OTM,-0.262718,0.09947387973838968,0.02416799778347626,-0.04039352790802785,-0.004706011240396297,44.234,29.65,0.55,CALL
ELETM313,2022-01-03T00:00:00.000Z,32.63,31.3,0.44,13,ATM,-0.275424,0.13397403951890316,0.024747774192882325,-0.03126334622502388,-0.004863154709062539,33.631,30.15,0.44,CALL
ELETM315,2022-01-03T00:00:00.000Z,32.63,31.55,0.78,13,ATM,-0.34396899999999997,0.11458834962442004,0.02727505980417672,-0.04450903310999295,-0.006192337799744849,43.336,38.09,0.78,CALL
ELETM320,2022-01-03T00:00:00.000Z,32.63,32.05,1.0,13,ATM,-0.40505500000000005,0.11930819822278224,0.02872498255422403,-0.0473005078866157,-0.00733408997501707,43.834,44.4,1.0,CALL
ELETM325,2022-01-03T00:00:00.000Z,32.63,32.55,1.19,13,ATM,-0.466406,0.12701266467908934,0.02946143125424551,-0.04655140100361024,-0.008464824790063465,42.231,50.46,1.19,CALL
ELETM33,2022-01-03T00:00:00.000Z,32.63,33.55,1.6,13,ATM,-0.609861,0.14086216405809898,0.028438021764601095,-0.038496738717582406,-0.011091065107793306,36.756,64.15,1.6,CALL
ELETM340,2022-01-03T00:00:00.000Z,32.63,33.05,0.99,13,ATM,-0.566316,0.20187564692444313,0.02915690597414203,-0.02794341973134153,-0.010043417779642174,26.296,58.97,0.99,CALL
ELETM355,2022-01-03T00:00:00.000Z,32.63,35.55,3.15,13,ITM,-0.8211809999999999,0.09115394831669633,0.019366592381484575,-0.026436218413279613,-0.015447795691081151,38.682,84.32,3.15,CALL
ELETM375,2022-01-03T00:00:00.000Z,32.63,37.55,4.9,13,ITM,-0.977091,0.024252324664734287,0.004024936343913293,-0.0017583169049067756,-0.018974973582434964,30.216,98.06,4.9,CALL
ELETM470,2022-01-03T00:00:00.000Z,32.63,47.05,14.25,13,ITM,-1.0,0.0,0.0,0.003730276322734655,-0.024246654347274993,0.0,100.0,14.3715,CALL
ELETN233,2022-01-03T00:00:00.000Z,32.63,23.3,0.11,33,OTM,-0.038309999999999955,0.012538197709219564,0.009823947389860381,-0.00825671606955634,-0.0017809724561554368,56.196,5.85,0.11,CALL
ELETN243,2022-01-03T00:00:00.000Z,32.63,24.3,0.07,33,OTM,-0.031086999999999976,0.012866764532883887,0.008274749214964733,-0.005696915239150623,-0.0014199944971993801,46.125,4.47,0.07,CALL
ELETN255,2022-01-03T00:00:00.000Z,32.63,25.55,0.23,33,OTM,-0.07774800000000004,0.023937584775171956,0.017178624030222456,-0.013177400978200188,-0.0036233262742380733,51.471,10.86,0.23,CALL
ELETN300,2022-01-03T00:00:00.000Z,32.63,30.05,0.9,33,OTM,-0.26691,0.0644966225476043,0.0388170967697291,-0.02462487246675317,-0.012583545228144243,43.166,32.06,0.9,CALL
ELETN305,2022-01-03T00:00:00.000Z,32.63,30.55,0.73,33,OTM,-0.271722,0.0808571791804823,0.03916649291298492,-0.019855217452333748,-0.012566522633370008,34.742,31.49,0.73,CALL
ELETN310,2022-01-03T00:00:00.000Z,32.63,31.05,1.05,33,OTM,-0.327727,0.07982717546578169,0.04264333287181132,-0.023822936565943118,-0.01537865582557304,38.314,37.92,1.05,CALL
ELETN323,2022-01-03T00:00:00.000Z,32.63,32.3,1.65,33,ATM,-0.436094,0.08431707220980673,0.0465010961013857,-0.02660873689991718,-0.020794832443315463,39.555,49.29,1.65,CALL
ELETN325,2022-01-03T00:00:00.000Z,32.63,32.55,1.8,33,ATM,-0.45719699999999996,0.08381938369632735,0.046835378116105934,-0.027112169278545373,-0.021892990748939127,40.076,51.5,1.8,CALL
