symbol,time,spot_price,strike,premium,days_to_maturity,moneyness,delta,gamma,vega,theta,rho,volatility,poe,bs_theoretical,option_type
ITUBA135,2022-01-03T00:00:00.000Z,21.51,21.47,0.74,13,ATM,0.530423,0.22359711333893934,0.019433708031436837,-0.028064593201418842,0.005504028290495557,36.414,49.75,0.74,CALL
ITUBA148,2022-01-03T00:00:00.000Z,21.51,17.72,4.22,13,ITM,0.845234,0.051628733437163704,0.011629973696355139,-0.043323725115248464,0.007202060062333448,94.377,78.87,4.22,CALL
ITUBA154,2022-01-03T00:00:00.000Z,21.51,20.22,1.8,13,ITM,0.71807,0.12890856675880455,0.016500492359286172,-0.03511755055583853,0.007039405548152731,53.628,67.56,1.8,CALL
ITUBA166,2022-01-03T00:00:00.000Z,21.51,20.72,1.2,13,ATM,0.688106,0.1914045777312332,0.017281393428652023,-0.02622223819256081,0.00701643839568175,37.827,65.71,1.2,CALL
ITUBA188,2022-01-03T00:00:00.000Z,21.51,21.97,0.45,13,ATM,0.407835,0.24242670419353,0.018967922821518542,-0.024575341471091933,0.0042933387902834505,32.781,37.92,0.45,CALL
ITUBA189,2022-01-03T00:00:00.000Z,21.51,23.47,0.1,13,OTM,0.129628,0.132709729094968,0.010314597045228628,-0.013131790664042228,0.0013868108175058914,32.563,11.47,0.1,CALL
ITUBA193,2022-01-03T00:00:00.000Z,21.51,22.97,0.16,13,OTM,0.193654,0.17779476322649906,0.013413089764280238,-0.016623871516064696,0.0020663097934251065,31.607,17.46,0.16,CALL
ITUBA194,2022-01-03T00:00:00.000Z,21.51,22.47,0.29,13,ATM,0.296826,0.2154145784636663,0.016904573486959153,-0.021860447920333596,0.0031440937804122857,32.878,27.15,0.29,CALL
ITUBA196,2022-01-03T00:00:00.000Z,21.51,20.47,1.49,13,ITM,0.707119,0.15603826825601422,0.016800609680927465,-0.0302381267934861,0.007077799432181988,45.11,67.09,1.49,CALL
ITUBA204,2022-01-03T00:00:00.000Z,21.51,21.22,0.86,13,ATM,0.587141,0.2224966603607371,0.01902356886243494,-0.027144172966706653,0.006071473035927511,35.822,55.52,0.86,CALL
ITUBA214,2022-01-03T00:00:00.000Z,21.51,24.47,0.03,13,OTM,0.046557,0.060778262810439604,0.004759177725926231,-0.006082245274076211,0.000501134180888938,32.807,3.97,0.03,CALL
ITUBA219,2022-01-03T00:00:00.000Z,21.51,21.72,0.53,13,ATM,0.466173,0.25713633256189405,0.019420272859134807,-0.024388744633010426,0.004899417355978405,31.643,43.77,0.53,CALL
ITUBA224,2022-01-03T00:00:00.000Z,21.51,22.22,0.37,13,ATM,0.352237,0.22889255559884245,0.018137678028425246,-0.02373202045022893,0.0037176775674363774,33.199,32.47,0.37,CALL
ITUBA229,2022-01-03T00:00:00.000Z,21.51,22.72,0.22,13,OTM,0.243815,0.19839333952658883,0.015318246051879751,-0.019457721469155982,0.002591964773033543,32.349,22.14,0.22,CALL
ITUBA234,2022-01-03T00:00:00.000Z,21.51,23.22,0.14,13,OTM,0.167721,0.15468853374990546,0.012256199291145645,-0.015923311639675513,0.0017888674897067643,33.195,14.95,0.14,CALL
ITUBA239,2022-01-03T00:00:00.000Z,21.51,23.72,0.07,13,OTM,0.097802,0.11037292447046913,0.008435675984997068,-0.010550683174144185,0.001049133635179169,32.021,8.58,0.07,CALL
ITUBA244,2022-01-03T00:00:00.000Z,21.51,24.22,0.05,13,OTM,0.069828,0.08028976149138901,0.0065473258765680895,-0.008718752865327124,0.000749051485633322,34.165,6.0,0.05,CALL
ITUBA249,2022-01-03T00:00:00.000Z,21.51,24.72,0.03,13,OTM,0.044222,0.05486482384351934,0.0045662486516691156,-0.006197085752608885,0.00047523421907137757,34.869,3.73,0.03,CALL
ITUBA254,2022-01-03T00:00:00.000Z,21.51,25.22,0.03,13,OTM,0.040352,0.04570493135455831,0.004240091523347893,-0.006405135558346236,0.00043227440401592,38.868,3.33,0.03,CALL
