data,valor
11/9/2025,"14,9"
10/9/2025,"14,9"
9/9/2025,"14,9"
8/9/2025,"14,9"
5/9/2025,"14,9"
4/9/2025,"14,9"
3/9/2025,"14,9"
2/9/2025,"14,9"
1/9/2025,"14,9"
29/08/2025,"14,9"
28/08/2025,"14,9"
27/08/2025,"14,9"
26/08/2025,"14,9"
25/08/2025,"14,9"
22/08/2025,"14,9"
21/08/2025,"14,9"
20/08/2025,"14,9"
19/08/2025,"14,9"
18/08/2025,"14,9"
15/08/2025,"14,9"
14/08/2025,"14,9"
13/08/2025,"14,9"
12/8/2025,"14,9"
11/8/2025,"14,9"
8/8/2025,"14,9"
7/8/2025,"14,9"
6/8/2025,"14,9"
5/8/2025,"14,9"
4/8/2025,"14,9"
1/8/2025,"14,9"
31/07/2025,"14,9"
30/07/2025,"14,9"
29/07/2025,"14,9"
28/07/2025,"14,9"
25/07/2025,"14,9"
24/07/2025,"14,9"
23/07/2025,"14,9"
22/07/2025,"14,9"
21/07/2025,"14,9"
18/07/2025,"14,9"
17/07/2025,"14,9"
16/07/2025,"14,9"
15/07/2025,"14,9"
14/07/2025,"14,9"
11/7/2025,"14,9"
10/7/2025,"14,9"
9/7/2025,"14,9"
8/7/2025,"14,9"
7/7/2025,"14,9"
4/7/2025,"14,9"
3/7/2025,"14,9"
2/7/2025,"14,9"
1/7/2025,"14,9"
30/06/2025,"14,9"
27/06/2025,"14,9"
26/06/2025,"14,9"
25/06/2025,"14,9"
24/06/2025,"14,9"
23/06/2025,"14,9"
20/06/2025,"14,9"
18/06/2025,"14,65"
17/06/2025,"14,65"
16/06/2025,"14,65"
13/06/2025,"14,65"
12/6/2025,"14,65"
11/6/2025,"14,65"
10/6/2025,"14,65"
9/6/2025,"14,65"
6/6/2025,"14,65"
5/6/2025,"14,65"
4/6/2025,"14,65"
3/6/2025,"14,65"
2/6/2025,"14,65"
30/05/2025,"14,65"
29/05/2025,"14,65"
28/05/2025,"14,65"
27/05/2025,"14,65"
26/05/2025,"14,65"
23/05/2025,"14,65"
22/05/2025,"14,65"
21/05/2025,"14,65"
20/05/2025,"14,65"
19/05/2025,"14,65"
16/05/2025,"14,65"
15/05/2025,"14,65"
14/05/2025,"14,65"
13/05/2025,"14,65"
12/5/2025,"14,65"
9/5/2025,"14,65"
8/5/2025,"14,65"
7/5/2025,"14,15"
6/5/2025,"14,15"
5/5/2025,"14,15"
2/5/2025,"14,15"
30/04/2025,"14,15"
29/04/2025,"14,15"
28/04/2025,"14,15"
25/04/2025,"14,15"
24/04/2025,"14,15"
23/04/2025,"14,15"
22/04/2025,"14,15"
17/04/2025,"14,15"
16/04/2025,"14,15"
15/04/2025,"14,15"
14/04/2025,"14,15"
11/4/2025,"14,15"
10/4/2025,"14,15"
9/4/2025,"14,15"
8/4/2025,"14,15"
7/4/2025,"14,15"
4/4/2025,"14,15"
3/4/2025,"14,15"
2/4/2025,"14,15"
1/4/2025,"14,15"
31/03/2025,"14,15"
28/03/2025,"14,15"
27/03/2025,"14,15"
26/03/2025,"14,15"
25/03/2025,"14,15"
24/03/2025,"14,15"
21/03/2025,"14,15"
20/03/2025,"14,15"
19/03/2025,"13,15"
18/03/2025,"13,15"
17/03/2025,"13,15"
14/03/2025,"13,15"
13/03/2025,"13,15"
12/3/2025,"13,15"
11/3/2025,"13,15"
10/3/2025,"13,15"
7/3/2025,"13,15"
6/3/2025,"13,15"
5/3/2025,"13,15"
28/02/2025,"13,15"
27/02/2025,"13,15"
26/02/2025,"13,15"
25/02/2025,"13,15"
24/02/2025,"13,15"
21/02/2025,"13,15"
20/02/2025,"13,15"
19/02/2025,"13,15"
18/02/2025,"13,15"
17/02/2025,"13,15"
14/02/2025,"13,15"
13/02/2025,"13,15"
12/2/2025,"13,15"
11/2/2025,"13,15"
10/2/2025,"13,15"
7/2/2025,"13,15"
6/2/2025,"13,15"
5/2/2025,"13,15"
4/2/2025,"13,15"
3/2/2025,"13,15"
31/01/2025,"13,15"
30/01/2025,"13,15"
29/01/2025,"12,15"
28/01/2025,"12,15"
27/01/2025,"12,15"
24/01/2025,"12,15"
23/01/2025,"12,15"
22/01/2025,"12,15"
21/01/2025,"12,15"
20/01/2025,"12,15"
17/01/2025,"12,15"
16/01/2025,"12,15"
15/01/2025,"12,15"
14/01/2025,"12,15"
13/01/2025,"12,15"
10/1/2025,"12,15"
9/1/2025,"12,15"
8/1/2025,"12,15"
7/1/2025,"12,15"
6/1/2025,"12,15"
3/1/2025,"12,15"
2/1/2025,"12,15"
31/12/2024,"12,15"
30/12/2024,"12,15"
27/12/2024,"12,15"
26/12/2024,"12,15"
24/12/2024,"12,15"
23/12/2024,"12,15"
20/12/2024,"12,15"
19/12/2024,"12,15"
18/12/2024,"12,15"
17/12/2024,"12,15"
16/12/2024,"12,15"
13/12/2024,"12,15"
12/12/2024,"12,15"
11/12/2024,"11,15"
10/12/2024,"11,15"
9/12/2024,"11,15"
6/12/2024,"11,15"
5/12/2024,"11,15"
4/12/2024,"11,15"
3/12/2024,"11,15"
2/12/2024,"11,15"
29/11/2024,"11,15"
28/11/2024,"11,15"
27/11/2024,"11,15"
26/11/2024,"11,15"
25/11/2024,"11,15"
22/11/2024,"11,15"
21/11/2024,"11,15"
19/11/2024,"11,15"
18/11/2024,"11,15"
14/11/2024,"11,15"
13/11/2024,"11,15"
12/11/2024,"11,15"
11/11/2024,"11,15"
8/11/2024,"11,15"
7/11/2024,"11,15"
6/11/2024,"10,65"
5/11/2024,"10,65"
4/11/2024,"10,65"
1/11/2024,"10,65"
31/10/2024,"10,65"
30/10/2024,"10,65"
29/10/2024,"10,65"
28/10/2024,"10,65"
25/10/2024,"10,65"
24/10/2024,"10,65"
23/10/2024,"10,65"
22/10/2024,"10,65"
21/10/2024,"10,65"
18/10/2024,"10,65"
17/10/2024,"10,65"
16/10/2024,"10,65"
15/10/2024,"10,65"
14/10/2024,"10,65"
11/10/2024,"10,65"
10/10/2024,"10,65"
9/10/2024,"10,65"
8/10/2024,"10,65"
7/10/2024,"10,65"
4/10/2024,"10,65"
3/10/2024,"10,65"
2/10/2024,"10,65"
1/10/2024,"10,65"
30/09/2024,"10,65"
27/09/2024,"10,65"
26/09/2024,"10,65"
25/09/2024,"10,65"
24/09/2024,"10,65"
23/09/2024,"10,65"
20/09/2024,"10,65"
19/09/2024,"10,65"
18/09/2024,"10,4"
17/09/2024,"10,4"
16/09/2024,"10,4"
13/09/2024,"10,4"
12/9/2024,"10,4"
11/9/2024,"10,4"
10/9/2024,"10,4"
9/9/2024,"10,4"
6/9/2024,"10,4"
5/9/2024,"10,4"
